,Judul,Konten
53,Massa GMNI Demo Walkot Padang Buntut Rumah Singgah Bung Karno Dirubuhkan,Sejumlah mahasiswa dari Gerakan Mahasiswa Nasionalis Indonesia (GMNI) Sumatera Barat (Sumbar) berunjuk rasa di depan rumah dinas Wali Kota Padang.
54,"Ketentuan Perpanjangan Pengisian PDSS untuk SNBP 2023, Catat!","Sekolah yang belum menyelesaikan pengisian PDSS untuk SNBP diberi perpanjangan waktu dua hari. Namun, ada ketentuannya."
55,10+ Contoh Kesimpulan Makalah yang Benar Berbagai Tema,"Para siswa, mahasiswa, dan pejuang skripsi, simak 10 contoh kesimpulan yang benar dari berbagai tema di sini."
56,"Rumah Singgah Bung Karno Dirubuhkan, GMNI Demo Walkot Padang",Sejumlah mahasiswa dari GMNI Sumbar berunjuk rasa di depan rumah dinas Wali Kota Padang. Mereka memprotes rubuhnya rumah singgah Bung Karno di Padang.
57,"Keterangan Presiden Belum Siap, MK Tunda Sidang Gugatan Perppu Ciptaker",Sidang lanjutan gugatan uji formil dan materiil Perppu Ciptaker ditunda karena keterangan Presiden Jokowi belum siap.
58,"Ketua SNPMB Singgung Sekolah yang Bikin Siswanya Tak Bisa Ikut SNBP, Ingatkan Ini","Ketua SNPMB, Prof Ashari menyenggol sekolah yang kurang perhatian soal pengisian PDSS. Dia pun mengingatkan sekolah untuk melakukan hal ini."
59,"10 Prodi Unand dengan Keketatan Tertinggi, Referensi SNBP-SNBT 2023",Unand merilis 10 prodi dengan keketatan tertinggi berdasarkan data seleksi mahasiswa baru tahun 2022. Berikut daftar prodi beserta keketatannya.
60,Relawan Ganjar Gelar Sunat Massal-Penyuluhan Gratis di Bandung Barat,"Orang Muda Ganjar Jabar menginisiasi cek kesehatan berupa gula darah, asam urat, dan kolesterol. Serta, penyuluhan kesehatan secara gratis bagi masyarakat."
61,Dirjen Dikti: Banyak Perusahaan Tidak Lagi Lihat Ijazah di Amerika,"Di era digital, banyak perusahaan teknologi di Amerika Serikat yang tidak lagi melihat ijazah. Kini, skill seperti AI dan cloud computing yang banyak dicari."
62,"Cheesecake Expert, Toko Dessert Jogja: Harga, Lokasi-Jam Buka","Cheesecake Expert Jogja jadi toko dessert pilihan di Jogja. Berikut ini lokasi, daftar harga, jam buka, hingga fasilitas Cheesecake Expert."
63,"Kuota Google Bangkit Melonjak Jadi 9.000, Ada Ribuan Lowongan untuk Lulusan",Program Bangkit 2023 dari Google dan Kemendikbudristek akan diadakan selama dua batch. Lulusannya dapat ribuan lowongan kerja.
64,"Dear Mahasiswa, Program Bangkit Hadir Lagi Bawa Pelatihan Android-Cloud","Program Bangkit kembali hadir untuk memberikan pelatihan kepada ribuan mahasiswa tentang Android, machine learning hingga cloud computing."
65,"Setianya Jajang, Puluhan Tahun Jadi Penunggu Rumah Inggit Garnasih","Mengenal Jajang, sang penunggu rumah Inggit Garnasih di Kota Bandung."
66,"15 Prodi Baru UI di SNBT dan SNBP 2023, Cek Daya Tampungnya di Sini",Mau masuk UI lewat SNBT dan SNBP 2023? Simak daftar prodi baru UI yang bisa detikers pilih tahun ini.
67,"Cetuskan Antiperang di Instagram, Mahasiswi Rusia Terancam 10 Tahun Bui","Olesya mengunggah konten mengenai invasi Rusia ke Ukraina, saat ini dia menjadi tahanan rumah dan hanya boleh keluar untuk pergi ke persidangan."
68,"25.952 Mahasiswa Ikut Magang & Studi Independen Bersertifikat 4, Ini Manfaatnya",25.952 Mahasiswa mengikuti Program Magang dan Studi Independen Bersertifikat (MSIB) Angkatan 4. Apa manfaat yang didapat mereka nantinya?
69,"Penyuka Kucing Lebih Pintar dari Penggemar Anjing, Benarkah?","Penelitian ini mengungkap mana yang lebih pintar di antara penyuka kucing atau anjing. Kalau detikers, tergolong yang mana?"
70,Kabar Teranyar dari Mahasiswi UPH Viral Dianiaya Mantan Pacar,Kabar terbaru menyebutkan AS sudah diperiksa polisi.
71,Ini Kasus yang Jerat Bupati Mamberamo Tengah hingga Ditangkap KPK,Ini kasus yang menjerat Bupati Mamberamo Tengah Ricky Ham Pagawak hingga ditangkap KPK.
