,Username,Konten,Lokasi
43,andyyusuf22,"Soal Cawapres, Prabowo Ingatkan Cak Imin Soal Kesepakatan Koalisi Gerindra dan PKB - Victory News - Victory News https://t.co/o12vO8QJ4E #BangkitBersama #IndonesiaKuat",Surabaya   
44,Disuruh_Iben,DPD Ikatan Mahasiswa Muhammadiyah DKI Bedah Buku Cak Imin di UMJ - Universitas Muhammadiyah Jakarta https://t.co/pnDqYC9XZ6 #IndonesiaKuat #BangkitBersama,Pulau Impian
45,haelamarie,PKB Tak Khawatir Prabowo Gandeng Khofifah: Belum Ada Opsi Lain Selain Cak Imin - https://t.co/tZkdvHP9de - https://t.co/tZkdvHP9de https://t.co/rENLxI3dPf #IndonesiaKuat #BangkitBersama,Indonesia
46,arifstria4,"Tertuang di perjanjian tersebut, capres dan cawapres akan ditentukan secara bersamaan oleh Prabowo dan Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
47,NordickVv,@mohmahfudmd Pak....tolong majulah sebagai capres...kalo bisa pake partai PKB...PKB seperti kehilangan arah tujuan &amp; tak tahu mau kemana semenjak cak imin disana,
48,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/DjpBvfpKYi,
49,habib_syechrell,"Dibubarkan Banser, Cak Imin Pernah Hadiri Pengajian Ustadz Hanan Attaki
https://t.co/6k1tgtoBGy",Tegal Jawa Tengah Indonesia
50,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/57gK6bCMU2,
51,OmHardiman,@geloraco Pak prabowo pikir keras jika harus cak imin wapres basis pendukungnya pkb sangat terbatas tidak semua NU dukung PKB kecuali jika tidak punya dosa ndepak gusdur pkb bisa jaya,"Sleman, Indonesia"
52,dwikiaprinaldi,today i learn muhaimin iskandar kalau di depok namanya jadi gus muhaimin bukan cak imin,
53,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/Tfq6KcjVOL,
54,PalopoJurnal,"Dikala Jokowi Endorse Menhan, Prabowo-Sandi Jilid 2 Terulang di Pilpres 2024, Khofifah dan Cak Imin? https://t.co/bTJJypPjgo","Kota Palopo, Sulawesi Selatan"
55,Disuruh_Iben,"Cak Imin Tak Hadiri Satu Abad NU di Sidoarjo, PKB: Terjebak Macet - SINDOnews Nasional https://t.co/ewoTw92MDn #IndonesiaKuat #BangkitBersama",Pulau Impian
56,Disuruh_Iben,Airlangga dan Cak Imin Buka Peluang Lebur KIB &amp; KIR Jadi Satu Koalisi - CNN Indonesia https://t.co/xuJCc4B0us #IndonesiaKuat #BangkitBersama,Pulau Impian
57,palopoleaks,"Dikala Jokowi Endorse Menhan, Prabowo-Sandi Jilid 2 Terulang di Pilpres 2024, Khofifah dan Cak Imin? https://t.co/ackf0DAe5w",
58,Disuruh_Iben,Cak Imin: Koalisi PKB dan Partai Gerindra di Pilpres 2024 cetak sejarah baru - ANTARA Megapolitan https://t.co/1nHLwob8yn #IndonesiaKuat #BangkitBersama,Pulau Impian
59,NingF1tricenter,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus https://t.co/nxYkUGlPvL",
60,putra_poerba,"@Jhonkosmik Prabowo nggak, ARB gak, Ganjar juga nggak.... jadi jagoannya adalah... Erick atau Puan atau Cak Imin...",
61,Selo57550672,@Jhonkosmik Terus pak timbul sama cak Imin dimana?,
62,murtadho_ma,@AfifFuadS @DPP_PKB @cakimiNOW Jare mbah GusDur PKB dipek cak imin apalagi cuman foto 🤣,East Jakarta
63,aidafitriat1,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus https://t.co/XEwm8A5Dyn",Pasuruan 
64,DuniaFana251071,"@OposisiCerdas Cak Imin?
Seperti layangan putus..",
65,missamiyaa,@OposisiCerdas Cak imin 😭,
66,Disuruh_Iben,Sejumlah Kepala Daerah di Jatim Dukung Cak Imin Capres 2024 - CNN Indonesia https://t.co/EqKqQ1wRVD #IndonesiaKuat #BangkitBersama,Pulau Impian
67,Disuruh_Iben,PKB Monopoli NU? Begini Jawaban Cak Imin - https://t.co/XyRg6gsE1C https://t.co/93mBnpkT5R #IndonesiaKuat #BangkitBersama,Pulau Impian
68,siregarmahmudy9,@Brigade01Arwan1 @cakimiNOW Amiin....semoga Cak Imin jadi Presiden RI penerus Alm. Gusdur,Indonesia
69,jurnalistpemula,"@OposisiCerdas Gak kaget polang sapi, blatik sapi manuver ,,, dan orang2 disekelilingnya sudah nyaman pasti senang aja polah tingkah blantika sapi,,, cak imin",
70,Emerald72063957,@republikaonline Serangan ke PKB Cak Imin nich...,
71,Muis____,@OposisiCerdas Cak Imin Pie ???,Republic of Indonesia 
72,Disuruh_Iben,"Bertemu Airlangga, Cak Imin: Kita Ingin Pemerintahan Ini Benar-benar Produktif hingga Akhir Periode - https://t.co/jdGJZgaaH0 - Nasional https://t.co/jdGJZgaaH0 https://t.co/WNzsixTs18 #IndonesiaKuat #BangkitBersama",Pulau Impian
73,dpcpkbjaksel,"Ketum  DPP PKB @DPP_PKB Abdul Muhaimin Iskandar alias Cak Imin @cakimiNOW mengirimkan bantuan untuk korban gempa bumi di Turki. Bantuan itu khususnya, di Kota Adana

@Alam_PKBJaksel @VIVAcoid

https://t.co/VE085OSQVE",
74,syifa_anindia,"Dalam kesepakatan kerja sama koalisi itu, pengusungan capres-cawapres ditentukan oleh Prabowo, dan Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Lebih Baik",
75,DPWPKBJAKARTA,"Ketua Umum DPP Partai Kebangkitan Bangsa (PKB) Abdul Muhaimin Iskandar (Gus Muhaimin) atau biasa disapa Cak Imin @cakimiNOW mengirimkan bantuan bagi korban gempa bumi di Turki khususnya, di Kota Adana

@DPP_PKB @hasbipkb

https://t.co/dFgsFisx7N","DKI Jakarta, Indonesia"
76,OmarFaheem_11,"Tertuang di perjanjian tersebut, capres dan cawapres akan ditentukan secara bersamaan oleh Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
77,larasatipuji1,"Tertuang di perjanjian tersebut, capres dan cawapres akan ditentukan secara bersamaan oleh Prabowo dan Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
78,KWaktura,"Cak Imin
Huda 
Tomy Kurniawan 
DKN Garda Bangsa 
Dpp Pkb
Dpw PKB
Oleh soleh https://t.co/DCUdA3XCUi",Tasimalaya
79,BizlawIndonesia,"Prabowo-Khofifah 'Makin Mesra', Akankah Dapat Restu Cak Imin? https://t.co/vXpNeI2tIA",Portal Informasi Berita Hukum dan Ekonomi Indonesia
80,sitiais63704078,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus",
81,Disuruh_Iben,"Dibubarkan Banser, Cak Imin Pernah Hadiri Pengajian Ustadz Hanan Attaki - Suara Nasional https://t.co/2LnEA8mlYb #IndonesiaKuat #BangkitBersama",Pulau Impian
82,Disuruh_Iben,Ketum PBNU Sindir Cak Imin Rebut PKB dari Gusdur - https://t.co/m18YJDoHNF https://t.co/Lunftpuxti #IndonesiaKuat #BangkitBersama,Pulau Impian
83,Jonperiunjung3,@muhamma39967166 @BagusMuhaiminS1 @cakimiNOW @cakimin @DPP_PKB @tppkemendes @halimiskandarnu https://t.co/mlgoaVyiuE,
84,KangSarjono1,"Dibubarkan Banser, Cak Imin Pernah Hadiri Pengajian Ustadz Hanan Attaki https://t.co/mVGhlpnEk9",
85,suaranasional,"New post: Dibubarkan Banser, Cak Imin Pernah Hadiri Pengajian Ustadz Hanan Attaki https://t.co/VGgxmxLkaO","Jawa Tengah, Indonesia"
86,wellyharlindo1,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus https://t.co/F8Wc1xm3ah","Bandar Lampung, Lampung"
87,aufarok,@AfifFuadS @DPP_PKB @cakimiNOW Poto modus. Kyk g tau kelakuan cak Imin aj. Bagaimana kelakuan dia atas Gus Dur.,"Kota Surabaya, East Java"
88,zen_sulendro,@ulil piye @sahabatodie  wkwkwk endi cak imin kok malah zulhas 😂😂😂,SOC - JAKARTA
89,Roytar1,@ekokuntadhi1 Pa prabowo dah pasti ikut pilpres n wakilnya bsa cak imin atau pa ganjar,
90,yovieferia,"Mudah-mudahan pilpres menjadi ajang pertarungan ide dan gagasan. Tapi, melihat kemenangan ditentukan oleh banyaknya suara, idealisme tsb rasanya bakal melempem. Ya siapa tau, Cak - skrg Gus - Imin sudah memulai duluan, disusul Anies Baswedan, tinggal kontestan lainnya?",
91,gaspoll2024,"NGOBs lagi yuk!!

Kali ini kita ngobrol seputar Capres Pilihan Nahdliyyin bersama Mas Syarif Abdillah, Ketua FPKB DPRD Jawa Tengah

Selasa, 21 Februari 2023
Jam 20:00 - 21:30 wib

Di Twitter Spaces @gaspoll2024 

#gaspoll #GusMuhaiminAsikPoll #CakImin #CapresPilihanNahdliyin https://t.co/DrxFUZ8XuO","DKI Jakarta, Indonesia"
92,PupungBurhani,"#CakImin
#Syaepulhooda
#TomyKurniawan
#DKNGardaBangsa
#DppPkb
#DpwPkb
#OlehSoleh https://t.co/nszXofrkdk",
93,lingkarjatimcom,"Di Acara Simposium 1 Abad NU, Ketum PBNU Sindir Cak Imin | LingkarJatim - https://t.co/PLzqyY4rIX https://t.co/TegtFWXJjB",
94,am_syafi,"#GusMuhaimin 
#CakImin 
Isra'mi'raj",
95,Disuruh_Iben,"Soal Cak Imin Usul Gubernur Ditiadakan Karena Tak Efektif, Begini Kata Sultan - Kedaulatan Rakyat https://t.co/KepRf2i5LM #IndonesiaKuat #BangkitBersama",Pulau Impian
96,Disuruh_Iben,Cak Imin Harap Diendorse Jokowi Jadi Capres atau Cawapres | https://t.co/iB9b8JxWq6 - https://t.co/vZIWoTfBeY https://t.co/1ng8GWedBY #IndonesiaKuat #BangkitBersama,Pulau Impian
97,Hen43025717,"#Cak Imin
#Huda 
#Tomy Kurniawan 
#DKN Garda Bangsa 
#Dpp Pkb
#Dpw PKB
#Oleh soleh https://t.co/SjVHU5CGLP",
98,nyak_ih_meutuah,"Capres 2024:
@aniesbaswedan
@prabowo
@airlangga_hrt
@puanmaharani_ri
@ganjarpranowo
#CakImin

Trs knp @partaigeloraid itu hy menyerang Anies B? @Fahrihamzah

Ungkit Utang Rp50 Miliar, Fahri Hamzah Mantap Pilih Prabowo Ketimbang Anies https://t.co/PODbEzs0pe",Indonesia
99,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/Lr7ce6INtn,
100,Miftha_93,"@calonbabeh @AfifFuadS @DPP_PKB @cakimiNOW Wih sampek misuh"" Ngono kang
Wong gor takon
Seharuse yo fotone seng dewean ae
Seng jelas wajahe
Iku lebih dominan neng wajahe mbah yai fotone
Cak imin gak ketok","Jawa Timur, Indonesia"
101,merdekadotcom,Cak Imin Kirim Bantuan untuk Korban Gempa Turki Lewat Relawan PKB https://t.co/MTM9jALblm,Indonesia
